Against,Beneficiary,Game_ID,Date,Ref_Crew,Total_Count,Total_Yards,Off_Count,Off_Yards,Def_Count,Def_Yards,ST_Count,ST_Yards,Pre-Snap,Off_Pre-Snap,Def_Pre-Snap,ST_Pre-Snap,Declined,Offsetting,Week,Year
Cleveland,Pittsburgh,82,10/18/2009,Walt Anderson,4,45,2,15,2,30,0,0,1,1,0,0,0,0,6,2009
Carolina,Tampa Bay,83,10/18/2009,John Parry,3,30,0,0,1,5,2,25,1,0,1,0,1,0,6,2009
Tampa Bay,Carolina,83,10/18/2009,John Parry,5,40,4,35,1,5,0,0,1,1,0,0,1,0,6,2009
Kansas City,Washington,84,10/18/2009,Tony Corrente,4,30,2,15,0,0,2,15,1,0,0,1,0,0,6,2009
Washington,Kansas City,84,10/18/2009,Tony Corrente,7,63,3,20,2,21,2,22,2,2,0,0,0,0,6,2009
Oakland,Philadelphia,85,10/18/2009,Pete Morelli,3,23,1,5,2,18,0,0,1,1,0,0,1,1,6,2009
Philadelphia,Oakland,85,10/18/2009,Pete Morelli,4,38,1,5,3,33,0,0,1,1,0,0,0,1,6,2009
Arizona,Seattle,86,10/18/2009,Carl Cheffers,7,76,5,36,1,30,1,10,3,3,0,0,1,0,6,2009
Seattle,Arizona,86,10/18/2009,Carl Cheffers,6,56,2,26,4,30,0,0,3,1,2,0,0,0,6,2009
New England,Tennessee,87,10/18/2009,Gene Steratore,6,40,4,20,2,20,0,0,4,4,0,0,0,0,6,2009
Tennessee,New England,87,10/18/2009,Gene Steratore,6,55,1,10,4,40,1,5,3,0,2,1,0,0,6,2009
N.Y. Jets,Buffalo,88,10/18/2009,Walt Coleman,14,96,6,39,5,26,3,31,5,4,1,0,3,0,6,2009
Buffalo,N.Y. Jets,88,10/18/2009,Walt Coleman,8,64,3,25,2,20,3,19,3,1,1,1,2,0,6,2009
Chicago,Atlanta,89,10/18/2009,Terry McAulay,9,65,5,40,2,10,2,15,5,2,2,1,0,1,6,2009
Atlanta,Chicago,89,10/18/2009,Terry McAulay,6,70,2,20,4,50,0,0,2,0,2,0,0,1,6,2009
San Diego,Denver,90,10/19/2009,Scott Green,4,44,0,0,3,38,1,6,0,0,0,0,1,1,6,2009
Denver,San Diego,90,10/19/2009,Scott Green,4,48,2,9,2,39,0,0,3,2,1,0,2,1,6,2009
Chicago,Cincinnati,91,10/25/2009,Walt Anderson,6,44,3,20,2,19,1,5,2,2,0,0,1,0,7,2009
Cincinnati,Chicago,91,10/25/2009,Walt Anderson,3,20,1,10,2,10,0,0,2,0,2,0,1,0,7,2009
Cleveland,Green Bay,92,10/25/2009,Don Carey,5,40,2,15,3,25,0,0,1,1,0,0,0,0,7,2009
Green Bay,Cleveland,92,10/25/2009,Don Carey,8,70,2,20,5,45,1,5,2,0,1,1,0,0,7,2009
San Francisco,Houston,93,10/25/2009,Mike Carey,11,65,6,30,2,10,3,25,7,6,1,0,1,0,7,2009
Houston,San Francisco,93,10/25/2009,Mike Carey,7,77,2,20,4,47,1,10,3,1,2,0,3,0,7,2009
San Diego,Kansas City,94,10/25/2009,Pete Morelli,9,59,4,25,4,29,1,5,5,3,2,0,0,0,7,2009
Kansas City,San Diego,94,10/25/2009,Pete Morelli,7,41,5,35,2,6,0,0,2,2,0,0,0,0,7,2009
Pittsburgh,Minnesota,95,10/25/2009,Ron Winter,3,15,1,10,2,5,0,0,2,0,2,0,2,0,7,2009
Minnesota,Pittsburgh,95,10/25/2009,Ron Winter,11,78,8,50,3,28,0,0,7,6,1,0,0,0,7,2009
Indianapolis,St. Louis,96,10/25/2009,Carl Cheffers,6,51,2,15,2,20,2,16,2,1,1,0,0,0,7,2009
St. Louis,Indianapolis,96,10/25/2009,Carl Cheffers,5,73,3,25,2,48,0,0,2,1,1,0,0,0,7,2009
Tampa Bay,New England,97,10/25/2009,Jerome Boger,6,55,4,40,1,5,1,10,3,2,1,0,2,0,7,2009
New England,Tampa Bay,97,10/25/2009,Jerome Boger,10,66,8,56,0,0,2,10,6,4,0,2,0,0,7,2009
Carolina,Buffalo,98,10/25/2009,Terry McAulay,9,67,5,39,2,8,2,20,4,3,1,0,0,1,7,2009
Buffalo,Carolina,98,10/25/2009,Terry McAulay,3,22,2,7,1,15,0,0,2,2,0,0,0,1,7,2009
Oakland,N.Y. Jets,99,10/25/2009,Gene Steratore,3,24,0,0,2,14,1,10,0,0,0,0,1,0,7,2009
N.Y. Jets,Oakland,99,10/25/2009,Gene Steratore,2,8,1,5,0,0,1,3,1,1,0,0,1,0,7,2009
Atlanta,Dallas,100,10/25/2009,Scott Green,3,30,2,20,0,0,1,10,1,1,0,0,3,0,7,2009
Dallas,Atlanta,100,10/25/2009,Scott Green,8,50,6,40,2,10,0,0,6,4,2,0,1,0,7,2009
New Orleans,Miami,101,10/25/2009,John Parry,6,25,3,10,2,10,1,5,5,3,1,1,0,0,7,2009
Miami,New Orleans,101,10/25/2009,John Parry,8,55,4,15,4,40,0,0,5,3,2,0,2,0,7,2009
N.Y. Giants,Arizona,102,10/25/2009,Al Riveron,7,30,6,25,1,5,0,0,6,5,1,0,0,0,7,2009
Arizona,N.Y. Giants,102,10/25/2009,Al Riveron,7,60,3,30,3,25,1,5,3,1,2,0,0,0,7,2009
Philadelphia,Washington,103,10/26/2009,Bill Leavy,12,66,6,27,4,17,2,22,7,4,3,0,0,0,7,2009
Washington,Philadelphia,103,10/26/2009,Bill Leavy,6,60,3,25,1,15,2,20,1,1,0,0,1,0,7,2009
Baltimore,Denver,104,11/1/2009,Walt Coleman,8,94,4,45,3,44,1,5,2,1,1,0,0,0,8,2009
Denver,Baltimore,104,11/1/2009,Walt Coleman,6,35,1,10,3,15,2,10,4,0,2,2,0,0,8,2009
Houston,Buffalo,105,11/1/2009,Gene Steratore,5,45,1,5,1,15,3,25,2,1,0,1,0,0,8,2009
Buffalo,Houston,105,11/1/2009,Gene Steratore,4,36,1,6,2,20,1,10,1,0,1,0,0,0,8,2009
Chicago,Cleveland,106,11/1/2009,Al Riveron,5,35,2,10,0,0,3,25,2,2,0,0,0,0,8,2009
Cleveland,Chicago,106,11/1/2009,Al Riveron,3,30,0,0,2,20,1,10,0,0,0,0,0,0,8,2009
Dallas,Seattle,107,11/1/2009,Jerome Boger,5,43,1,10,3,25,1,8,1,0,1,0,0,0,8,2009
Seattle,Dallas,107,11/1/2009,Jerome Boger,6,53,1,5,5,48,0,0,3,1,2,0,0,0,8,2009
Detroit,St. Louis,108,11/1/2009,Ron Winter,8,67,4,30,4,37,0,0,3,2,1,0,0,1,8,2009
